"기준년도","대중교통구분","노선명","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
"2017","버스","서울","150526460","148721181","172301426","165100986","167032045","165289769","166052582","165048378","169735107","150992039","",""
"2017","지하철","1호선","8256306","8292204","9190988","8403273","8369239","8147855","7988473","7988120","8492253","7954250","",""
"2017","지하철","2호선","44080227","44240945","49378094","47084905","46726491","45930986","45891845","45340387","46901408","41901267","",""
"2017","지하철","3호선","16001670","16114595","18239921","17297526","17246347","16939678","16606553","16510275","17366295","15760238","",""
"2017","지하철","4호선","16809700","16816615","19822879","18726753","18904813","18248734","17501613","17354211","18209460","16662071","",""
"2017","지하철","경부선","13413265","13093551","15935458","15434021","15595172","14762760","13938461","14079714","15451025","14517913","",""
"2017","지하철","경인선","9427040","9284478","11073481","10607691","10784519","10315507","9811163","9756487","10527538","9829688","",""
"2017","지하철","경원선","6048153","5964275","7318448","7074017","7258926","6858573","6463230","6439215","7087265","6711997","",""
"2017","지하철","안산선","3661993","3565577","4349657","4253985","4318400","4071603","3801022","3800119","4213087","3969159","",""
"2017","지하철","과천선","3084660","3130100","3580512","3692667","3634759","3443096","3285848","3235151","3522979","3229747","",""
"2017","지하철","분당선","10143574","10113761","11693991","11114654","11188672","10980105","10692274","10605810","11301718","10133960","",""
"2017","지하철","일산선","3037979","3022084","3526423","3447734","3518705","3366527","3265723","3365042","3565461","3303032","",""
"2017","지하철","중앙선","2662280","2659816","3258244","3219452","3287320","3098684","2947606","2970621","3224588","3007348","",""
"2017","지하철","장항선","407750","391177","558731","541739","556512","477186","394099","422464","522842","497662","",""
"2017","지하철","경의선","2672375","2668432","3293725","3182542","3243444","3146968","2958482","2948201","3271926","3006582","",""
"2017","지하철","경춘선","996067","1000839","1244405","1285532","1362611","1239608","1165246","1249036","1274876","1288473","",""
"2017","지하철","수인선","1234167","1222479","1515094","1479453","1540356","1450881","1327783","1329002","1513416","1399623","",""
"2017","지하철","5호선","16766495","16863586","19384489","18818208","18424647","18118624","17595299","17513830","18700184","16737162","",""
"2017","지하철","6호선","9757361","9766702","11647938","11074183","11153982","10849886","10329739","10201159","11129900","10450942","",""
"2017","지하철","7호선","20230386","20073244","23273234","22387977","22368467","21706928","20916769","20665125","22018890","19785144","",""
"2017","지하철","8호선","4949695","4905098","5702634","5590039","5536737","5410409","5268891","5247289","5567524","5062277","",""
"2017","지하철","9호선","7459380","7412722","8360210","8302482","7966155","7944390","7864712","7829498","8278757","7228613","",""
"2017","지하철","공항철도 1호선","2707958","2641718","2871489","2876927","2942187","2913367","2915551","3027697","2992485","2855377","",""
"2017","지하철","9호선2단계","1082722","1092707","1218905","1155776","1146372","1170416","1211687","1195786","1227989","1028906","",""
"2017","지하철","경강선","611134","599771","740525","729363","761687","716330","673591","702562","768660","761301","",""
"2017","지하철","우이신설선","","","","","","","","","1113116","1122162","",""